DocNo,DocDate,TaxDate,SalesLocation,SalesAgent,CreditTerm,Description,DebtorCode,TaxEntity,Address,InclusiveTax,SubmitEInvoice,ProductCode,AccNo,ClassificationCode,TaxCode,DetailDescription,FurtherDescription,Qty,Unit,UnitPrice,LocalTotalCost,TaxExemptionExpiryDate,PaymentMethod,PaymentRef,PaymentAmt,Email,EmailCC,EmailBCC,Attention,Phone1,Fax1,DeliverAddress,DeliverContact,DeliverPhone1,DeliverFax1,Ref,Note,Remark1,Remark2,Remark3,Remark4,CurrencyRate,ToTaxCurrencyRate,ToBankRate,ShippingRecipientTaxEntity,FreightAllowanceCharge,FreightAllowanceChargeReason,ReferenceNumberOfCustomsFormNo1And9,FreeTradeAgreementInformation,ReferenceNumberOfCustomsFormNo2,Incoterms,AuthorisationNumberForCertifiedExporter,EInvoiceIssueDateTime,EInvoiceUuid,ProductVariant,DeptNo,Discount,UnitType,TaxExportCountry,TaxPermitNo,TaxAdjustment,LocalTaxAdjustment,TariffCode,YourPONo,YourPODate,OriginCountry
,14/03/2026,14/03/2026,HQ,Darren Lim,Net 30 days,INVOICE,300-0001,TIN:C20395547010,Level 19 Menara AIA 99 Jalan Ampang 50450 Kuala Lumpur Malaysia,FALSE,FALSE,MODE-WA-API,500-0000,'022,SV-8,WhatsApp Business Fee - Marketing (MY),• Cost Center: MY037510 | • Country: MY | • Pay-per-use: USD 0.08514 per message | • Exchange rate: 1USD = 4.0749MYR | • Billing period: Jan 2026,1,1,0.3469,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,14/03/2026,14/03/2026,HQ,Darren Lim,Net 30 days,INVOICE,300-0001,TIN:C20395547010,Level 19 Menara AIA 99 Jalan Ampang 50450 Kuala Lumpur Malaysia,FALSE,FALSE,MODE-WA-API,500-0000,'022,SV-8,WhatsApp Business Fee - Marketing (Others),• Cost Center: MY038502 | • Country: Others | • Pay-per-use: USD 0.08514 per message | • Exchange rate: 1USD = 4.0749MYR | • Billing period: Jan 2026,1514,1514,0.3469,525.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,14/03/2026,14/03/2026,HQ,Darren Lim,Net 30 days,INVOICE,300-0001,TIN:C20395547010,Level 19 Menara AIA 99 Jalan Ampang 50450 Kuala Lumpur Malaysia,FALSE,FALSE,MODE-WA-API,500-0000,'022,SV-8,WhatsApp Business Fee - Marketing (AE),• Cost Center: MY038502 | • Country: AE | • Pay-per-use: USD 0.0499 per message | • Exchange rate: 1USD = 4.0749MYR | • Billing period: Jan 2026,16,16,0.2033,3.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,14/03/2026,14/03/2026,HQ,Darren Lim,Net 30 days,INVOICE,300-0001,TIN:C20395547010,Level 19 Menara AIA 99 Jalan Ampang 50450 Kuala Lumpur Malaysia,FALSE,FALSE,MODE-WA-API,500-0000,'022,SV-8,WhatsApp Business Fee - Marketing (AG),• Cost Center: MY038502 | • Country: AG | • Pay-per-use: USD 0.08514 per message | • Exchange rate: 1USD = 4.0749MYR | • Billing period: Jan 2026,13,13,0.3469,4.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,14/03/2026,14/03/2026,HQ,Darren Lim,Net 30 days,INVOICE,300-0001,TIN:C20395547010,Level 19 Menara AIA 99 Jalan Ampang 50450 Kuala Lumpur Malaysia,FALSE,FALSE,MODE-WA-API,500-0000,'022,SV-8,WhatsApp Business Fee - Marketing (AI),• Cost Center: MY038502 | • Country: AI | • Pay-per-use: USD 0.08514 per message | • Exchange rate: 1USD = 4.0749MYR | • Billing period: Jan 2026,1,1,0.3469,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,14/03/2026,14/03/2026,HQ,Darren Lim,Net 30 days,INVOICE,300-0001,TIN:C20395547010,Level 19 Menara AIA 99 Jalan Ampang 50450 Kuala Lumpur Malaysia,FALSE,FALSE,MODE-WA-API,500-0000,'022,SV-8,WhatsApp Business Fee - Marketing (AS),• Cost Center: MY038502 | • Country: AS | • Pay-per-use: USD 0.08514 per message | • Exchange rate: 1USD = 4.0749MYR | • Billing period: Jan 2026,2,2,0.3469,0.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,14/03/2026,14/03/2026,HQ,Darren Lim,Net 30 days,INVOICE,300-0001,TIN:C20395547010,Level 19 Menara AIA 99 Jalan Ampang 50450 Kuala Lumpur Malaysia,FALSE,FALSE,MODE-WA-API,500-0000,'022,SV-8,WhatsApp Business Fee - Marketing (AU),• Cost Center: MY038502 | • Country: AU | • Pay-per-use: USD 0.0732 per message | • Exchange rate: 1USD = 4.0749MYR | • Billing period: Jan 2026,178,178,0.2983,53.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,14/03/2026,14/03/2026,HQ,Darren Lim,Net 30 days,INVOICE,300-0001,TIN:C20395547010,Level 19 Menara AIA 99 Jalan Ampang 50450 Kuala Lumpur Malaysia,FALSE,FALSE,MODE-WA-API,500-0000,'022,SV-8,WhatsApp Business Fee - Marketing (BB),• Cost Center: MY038502 | • Country: BB | • Pay-per-use: USD 0.08514 per message | • Exchange rate: 1USD = 4.0749MYR | • Billing period: Jan 2026,4,4,0.3469,1.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,14/03/2026,14/03/2026,HQ,Darren Lim,Net 30 days,INVOICE,300-0001,TIN:C20395547010,Level 19 Menara AIA 99 Jalan Ampang 50450 Kuala Lumpur Malaysia,FALSE,FALSE,MODE-WA-API,500-0000,'022,SV-8,WhatsApp Business Fee - Marketing (BH),• Cost Center: MY038502 | • Country: BH | • Pay-per-use: USD 0.0341 per message | • Exchange rate: 1USD = 4.0749MYR | • Billing period: Jan 2026,2,2,0.139,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,14/03/2026,14/03/2026,HQ,Darren Lim,Net 30 days,INVOICE,300-0001,TIN:C20395547010,Level 19 Menara AIA 99 Jalan Ampang 50450 Kuala Lumpur Malaysia,FALSE,FALSE,MODE-WA-API,500-0000,'022,SV-8,WhatsApp Business Fee - Marketing (BN),• Cost Center: MY038502 | • Country: BN | • Pay-per-use: USD 0.0732 per message | • Exchange rate: 1USD = 4.0749MYR | • Billing period: Jan 2026,33,33,0.2983,9.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
